ranking_id,edition_year,edition_id,firm_ref,practice_area_id,ranking_tier,tier_rank,ranking_type,post_status,publication_status,listing_type,commentary,modified_ts
V0621,2024,ED2024BE,F0513,PA0517,,5,firm recommended,publish,Researching,premium,,2024-08-10 09:18:05
R0055,2024,ED2024JP,F0965,PA0285,5,,firm recommended,Publish,Archive,,,2024-12-03 17:51:43
R0171,2024,ED2024SG,F0915,PA0268,5,,firm recommended,Draft,Researching,,Leading practice in its field,2024-11-18 11:59:59
V0897,2024,ED2024FR,F0902,PA0447,,1,firm recommended,pending,Researching,vip,Highly regarded team,2024-08-30 09:17:21
V0635,2024,ED2024SG,F0428,PA0819,,4,firm recommended,publish,Active,sponsored,,2024-09-10 21:32:29
V0895,2024,ED2024UK,,PA0347,,1,firm recommended,draft,Researching,sponsored,Highly regarded team,2024-11-21 14:59:01
R0139,2024,ED2024UK,F0346,PA0661,0,,firm recommended,Draft,Active,,Leading practice in its field,2024-12-19 10:36:23
R0356,2024,ED2024DE,F0815,PA0495,1,,firm recommended,Pending,Active,,,2024-10-28 23:33:45
R0368,2024,ED2024HK,F0928,PA0136,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-09-17 08:50:44
V0717,2024,ED2024FR,,PA0491,,2,firm recommended,publish,Active,premium,,2024-08-11 06:12:48
R0455,2024,ED2024UAE,F0543,PA0424,4,,firm recommended,Publish,Researching,,,2024-11-25 19:18:42
V0769,2025,ED2025UAE,F0558,PA0693,,1,firm recommended,publish,Active,standard,Leading practice in its field,2024-12-31 03:50:40
V0546,2024,ED2024DE,F0513,PA0328,,2,firm recommended,publish,Active,,,2024-08-04 17:44:17
R0167,2024,ED2024SE,F0478,PA0698,1,,firm to watch,Draft,Active,,Leading practice in its field,2024-09-28 23:05:27
V0854,2025,ED2025UAE,F0138,PA0154,,3,firm recommended,publish,Researching,standard,Leading practice in its field,2025-01-07 20:34:04
V0595,2025,ED2025BE,F0524,PA0500,,2,firm to watch,publish,Researching,premium,Leading practice in its field,2024-10-31 03:13:38
V0624,2025,ED2025SE,F0986,PA0663,,5,firm recommended,publish,Archive,,,2024-12-24 22:51:20
V0863,2025,ED2025CA,F0915,PA0806,,2,firm recommended,publish,Archive,,Leading practice in its field,2024-11-23 14:10:19
R0022,2025,ED2025DE,F0363,PA0818,2,,firm recommended,Pending,Researching,,,2024-11-10 02:08:49
V0834,2024,ED2024NL,F0949,PA0579,,3,firm to watch,publish,Active,standard,Noted for complex transactions,2024-10-03 06:26:36
V0998,2024,ED2024HK,F0225,PA0809,,1,firm recommended,publish,Researching,standard,Noted for complex transactions,2024-08-14 13:01:50
R0093,2024,ED2024CA,F0957,PA0303,1,,firm recommended,Publish,Active,,Highly regarded team,2024-10-08 14:48:59
V0522,2025,ED2025CA,F0380,PA0512,,2,firm recommended,publish,Active,premium,Leading practice in its field,2024-09-14 07:04:38
R0256,2024,ED2024CA,F0679,PA0436,1,,firm recommended,Publish,Active,,Highly regarded team,2024-12-07 06:40:44
V0534,2025,ED2025US,F0399,PA0797,,1,firm recommended,draft,Active,premium,,2024-10-10 15:20:56
R0175,2025,ED2025IE,F0091,PA0774,1,,firm to watch,Pending,Active,,Noted for complex transactions,2024-11-21 16:29:54
V0529,2025,ED2025CA,F0701,PA0634,,2,firm recommended,publish,Researching,premium,,2024-11-11 20:17:09
V0865,2024,ED2024UK,F0046,PA0569,,1,firm recommended,publish,Researching,standard,Highly regarded team,2024-08-08 12:29:48
R0420,2025,ED2025FR,F0539,PA0616,4,,firm recommended,Pending,Active,,,2025-01-03 09:28:54
R0447,2025,ED2025SE,F0765,PA0268,3,,firm to watch,Draft,Active,,,2024-10-23 18:04:19
R0100,2025,ED2025US,F0466,PA0040,3,,firm to watch,Publish,Active,,,2024-12-03 07:37:28
R0343,2025,ED2025UAE,F0183,PA0163,4,,firm to watch,Draft,Active,,,2024-11-15 19:30:49
